,ทะเบียนโรงงาน ,ชื่อโรงงาน ,newCode,facType,ISIC,TSIC,desc,add,tel
0,ศ3-20(1)-1/34ชม,บริษัท เชียงใหม่ เบเวอเรช จำกัด,00500400125349,"20(1),20(3)",1104,11041,ผลิตโซดา และน้ำดื่ม,33/1 ม.5ถ.ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง ต.ยางเนิ้งอ.สารภี จ.เชียงใหม่   50140,
1,ศ3-8(1)-4/36ชม ,บริษัท สหปราจีนบุรีอุตสาหกรรมอาหาร จำกัด ,00500000425362,8(1),1030,10302,ทำผัก-ผลไม้ น้ำผัก-ผลไม้ บรรจุกระป๋อง,330 ม.1ถ.- ต.แม่สูนอ.ฝาง จ.เชียงใหม่   50110,053-884194-5
2,ศ3-8(1)-2/36ชม,บริษัท ช้างอวอดส์ (1959) จำกัด ,00500000225366,8(1),1030,10302,ทำอาหารกระป๋องจากผัก พืชหรือผลไม้และดองผักพืชหรือผลไม้,381/1 ม.1ถ.เชียงใหม่-ฝาง ต.แม่ข่าอ.ฝาง จ.เชียงใหม่   50320,0-5388-4857-62
3,ศ3-8(1)-1/34ชม ,บริษัท สันติภาพ (ฮั่วเพ้ง 1958) จำกัด ,00500000125343,8(1),1030,10302,ผลิตผักและผลไม้บรรจุกระป๋องสำเร็จรูป,88 ม.  5 ซ.กม.17ถ.เชียงใหม่-พร้าว ต.แม่แฝกใหม่อ.สันทราย จ.เชียงใหม่   50290,297984
4,3-58(1)-119/50ชม ,บริษัท ไดมอนด์ วัสดุ จำกัด ,10500011925507,58(1),2395,23953,ผลิตอิฐมวลเบา อบไอน้ำ,263 ม.10ถ.- ต.แม่แฝกอ.สันทราย จ.เชียงใหม่   50290,053-849434-8
5,ศ3-8(2)-2/33ชร ,บริษัท แพนสตาร์ จำกัด ,-,-,-,-,-,-,-
6,จ3-1-3/19ชร ,สถานีบ่มใบยาสูบปงของ,20570000325199,1,1200,12001,บ่มใบยาสูบ จำนวน 50 เตา,323 ม.5ถ.- ต.บ้านแซวอ.เชียงแสน จ.เชียงราย   57150,
7,ศ3-15(1)-2/38พบ ,บริษัท โกรเบสท์คอร์โพเรชั่น จำกัด ,00760000225382,15(1),1080,10801,ผลิตอาหารสัตว์น้ำ,107 ม.3ถ.เพชรเกษม ต.หนองปรงอ.เขาย้อย จ.เพชรบุรี   76140,
8,3-44-1/40พบ ,บริษัท กังวาลโพลีเอสเตอร์ จำกัด ,10760200125406,44,2013,20131,ผลิตเส้นใยสังเคราะห์ชนิดเส้นใยโพลีเอสเตอร์,88 ม.2 ต.หนองชุมพลอ.เขาย้อย จ.เพชรบุรี   76140,032-447577-87
9,ศ3-15(1)-3/38พบ ,บริษัท ลีพัฒนาผลิตภัณฑ์ จำกัด (มหาชน) ,00760000325380,15(1),1080,10801,ทำอาหารผสมหรืออาหารผสมสำเร็จรูปสำหรับเลี้ยงสัตว์บก,65 ม.2ถ.- ต.ห้วยท่าช้างอ.เขาย้อย จ.เพชรบุรี   76140,032-446565
10,3-53(5)-56/48พบ ,บริษัท ไททัน โพลีเทค จำกัด ,10760005625485,53(5),2223,22230,ผลิตท่อและแผ่นพลาสติก,110 ม.1ถ.อู่ตะเภา-หนองชุมพล ต.หนองชุมพลอ.เขาย้อย จ.เพชรบุรี   76140,
11,3-15(1)-13/48พบ ,บริษัท ไทยลักซ์ เอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด ,10760001325486,15(1),1080,10801,ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์ เช่น สัตว์น้ำ,62/1 ม.2ถ.รพช.อู่ตะเภา ต.หนองชุมพลอ.เขาย้อย จ.เพชรบุรี   76140,032-447681-8
12,3-51-4/49พบ ,บริษัท วีรับเบอร์ คอร์ปอเรชั่น จำกัด ,10760100425492,51,2211,22112,ผลิตยางนอก ยางใน รถจักรยาน รถจักรยานยนต์,159/1 ม.1ถ.- ต.เขาย้อยอ.เขาย้อย จ.เพชรบุรี   76140,032-561696
13,3-4(3)-11/47พช ,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด ,10670001125473,"4(2),4(3)",1013,10139,แปรรูปผลิตภัณฑ์เนื้อไก่แช่แข็ง,99/9 ม.4ถ.นครสวรรค์-ชัยภูมิ ต.กันจุอ.บึงสามพัน จ.เพชรบูรณ์   67160,
14,3-15(1)-12/47พช ,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด ,10670001225471,"2(1),15(1),15(2)",1080,10801,อบพืชผลและผลิตอาหารสัตว์,99/9 ม.7ถ.- ต.หนองแจงอ.บึงสามพัน จ.เพชรบูรณ์   67160,056-563274
15,3-4(1)-30/47พช ,บริษัท โกลเด้นไลน์ บิสซิเนส จำกัด ,10670003025473,"4(1),4(6)",1011,10111,ฆ่าและชำแหละไก่,99 ม.4ถ.นครสวรรค์-ชัยภูมิ ต.กันจุอ.บึงสามพัน จ.เพชรบูรณ์   67160,
